,set,unit,cycle,T24,T30,T48,T50,P15,P2,P21,P24,Ps30,P40,P50,Nf,Nc,Wf
0,DS01,7.0,1.0,0.0012121942,0.1274533,0.0005748517,0.15578562,0.0015620281,0.12033874,0.0005334109,0.16033089,0.0015921326,0.11960719,0.00052841264,0.17607225,0.0014370523,0.13297185
1,DS01,7.0,2.0,0.0009935127,0.12594311,0.0004350946,0.15544571,0.0012424387,0.123873964,0.00034482888,0.15143432,0.0013297751,0.123476565,0.00033590852,0.18672356,0.0011847039,0.12723643
2,DS01,7.0,3.0,0.00082376495,0.12636223,0.0004256276,0.15708767,0.0010689946,0.1219537,0.0004226942,0.1605348,0.0010627048,0.1220581,0.00040917838,0.17711195,0.00093290623,0.1297457
3,DS01,7.0,4.0,0.0009980708,0.12570834,0.00043995355,0.15530147,0.0012777116,0.12421235,0.0003483471,0.15178284,0.0013624004,0.12378238,0.00033957584,0.18638746,0.0012059435,0.12685321
4,DS01,7.0,5.0,0.004130463,0.12284722,0.0020205404,0.15601985,0.0043773795,0.12315649,0.002008316,0.1588899,0.0043801973,0.12287302,0.001991987,0.16393696,0.0043828376,0.12898502
5,DS01,7.0,6.0,0.0015025156,0.12109483,0.00074132974,0.16088514,0.0018084884,0.12553455,0.0006846141,0.15822299,0.001847026,0.12693195,0.0006793923,0.17206772,0.0017603905,0.126239
6,DS01,7.0,7.0,0.0008552689,0.13212128,0.0005240062,0.15464556,0.0013378387,0.11730851,0.0005469068,0.16572294,0.0012986512,0.11496132,0.0005562323,0.17356583,0.0011967262,0.1353589
7,DS01,7.0,8.0,0.00071149674,0.11453719,0.00036029643,0.16390459,0.00093081756,0.13190693,0.00034340797,0.15202582,0.0010124454,0.13265035,0.00034570767,0.17936221,0.0009262572,0.12098257
8,DS01,7.0,9.0,0.00096843974,0.12059898,0.00051771576,0.16154109,0.0012752729,0.12824251,0.00048147613,0.15857032,0.0013059983,0.12704721,0.00048710612,0.17365538,0.0011952297,0.124113336
9,DS01,7.0,10.0,0.0015457917,0.12769471,0.00074451085,0.15415166,0.001687951,0.122697175,0.0006223494,0.16032751,0.0017294196,0.12105627,0.0006069021,0.1770669,0.0017159337,0.128353
10,DS01,7.0,11.0,0.0015358552,0.12048167,0.00077044254,0.16018198,0.0020860457,0.12684634,0.00068898743,0.15906914,0.0021161507,0.12820654,0.0006899737,0.17066951,0.0019965165,0.12466089
11,DS01,7.0,12.0,0.0023334902,0.13038863,0.00097631034,0.15168263,0.0025235123,0.1200488,0.00093802623,0.16203725,0.0025015664,0.11717831,0.0009349336,0.17392921,0.0024037035,0.13212365
12,DS01,7.0,13.0,0.0019530518,0.12373579,0.0009223937,0.15838751,0.0021968766,0.123945154,0.0008814342,0.16133839,0.0021900313,0.12316927,0.00087264186,0.1695634,0.002156865,0.12868716
13,DS01,7.0,14.0,0.0020901451,0.12981234,0.000874775,0.15364337,0.0022263804,0.122041956,0.00081399933,0.16036515,0.0022014691,0.11932668,0.0008184023,0.17508425,0.0020253016,0.1286758
14,DS01,7.0,15.0,0.0015092096,0.13030206,0.0007679086,0.15529476,0.0018658323,0.12026602,0.00081021176,0.16403756,0.0017824281,0.11825848,0.00081816013,0.17186642,0.0016859407,0.13073516
15,DS01,7.0,16.0,0.0018064571,0.121371284,0.00073464593,0.15860674,0.0020625598,0.12804368,0.00064057746,0.15933642,0.0020752102,0.12645976,0.00064443366,0.1719231,0.0019545609,0.124340445
16,DS01,7.0,17.0,0.0028691832,0.1289562,0.0013719554,0.1554417,0.0031031815,0.12102117,0.001363879,0.1641422,0.0030777669,0.11819019,0.0013710897,0.16553837,0.003050935,0.1305023
17,DS01,7.0,18.0,0.0021397488,0.13270488,0.0009220869,0.15275654,0.002363556,0.11888449,0.0009429875,0.16458786,0.0023122875,0.11499029,0.0009530269,0.17131536,0.0021816322,0.1329453
18,DS01,7.0,19.0,0.0014594117,0.12970392,0.0007627491,0.15539852,0.0019040637,0.11945065,0.00076356967,0.1646058,0.001893023,0.11698128,0.00076723646,0.17084414,0.0018018979,0.13366376
19,DS01,7.0,20.0,0.002035184,0.13247934,0.0010486346,0.15411142,0.0025347723,0.11813366,0.0011011307,0.16645949,0.0024896471,0.11429914,0.0011159562,0.16740952,0.0024503346,0.13433181
20,DS01,7.0,21.0,0.0029052352,0.13429241,0.0012415311,0.15101175,0.0029042822,0.119431,0.0011812516,0.16588564,0.0027904501,0.11319747,0.0011989973,0.16885306,0.0027497946,0.13235724
21,DS01,7.0,22.0,0.0031980672,0.13146521,0.0014978314,0.1541763,0.0033690534,0.11948327,0.0015009015,0.16555601,0.003342936,0.11547035,0.0015150707,0.16411294,0.003318392,0.13199373
22,DS01,7.0,23.0,0.0011749187,0.12191337,0.00060020125,0.16065973,0.00145109,0.12750329,0.0005701915,0.15937974,0.0014733917,0.12575336,0.0005784663,0.17284906,0.0013632439,0.1247299
23,DS01,7.0,24.0,0.0029445896,0.13242717,0.0012699927,0.15169162,0.0031327845,0.11861663,0.0012773786,0.16406056,0.0030929553,0.114965305,0.00127708,0.16914187,0.0030191522,0.1330829
24,DS01,7.0,25.0,0.004786137,0.1277148,0.0017051453,0.15292844,0.004126567,0.119984254,0.0017648799,0.16447634,0.0040915264,0.11737888,0.0017779457,0.16224065,0.004021746,0.1330027
25,DS01,7.0,26.0,0.0033779729,0.13824862,0.0013845812,0.14837646,0.0033130029,0.11487689,0.0014123896,0.16608779,0.0032009715,0.10821254,0.0014310072,0.16939995,0.0031858815,0.13749191
26,DS01,7.0,27.0,0.0040769633,0.13041313,0.0019904745,0.15466753,0.004479668,0.119013324,0.0020341666,0.16339259,0.004472301,0.11672965,0.0020404833,0.16061264,0.0044708196,0.13160624
27,DS01,7.0,28.0,0.0035112698,0.1320593,0.0016582551,0.15399311,0.0037312103,0.119120225,0.0016818488,0.16501485,0.0037095968,0.11515272,0.0016921946,0.16313966,0.0036888942,0.13184686
