,set,unit,cycle,T24,T30,T48,T50,P15,P2,P21,P24,Ps30,P40,P50,Nf,Nc,Wf
0,DS01,7.0,1.0,0.10531614,0.0338253,0.11843029,0.02092093,0.12770036,0.033074904,0.10619117,0.022784667,0.123505436,0.033749007,0.1255184,0.016807195,0.098226994,0.033949204
1,DS01,7.0,2.0,0.10158495,0.021600598,0.13689482,0.01290155,0.14126763,0.024384357,0.11017662,0.013520412,0.13842553,0.023474678,0.14571601,0.01304635,0.091506,0.025500525
2,DS01,7.0,3.0,0.110090695,0.054948416,0.09202673,0.03369952,0.09416129,0.049554497,0.09438154,0.036991775,0.09333518,0.047327846,0.10967495,0.031086938,0.10040553,0.05231507
3,DS01,7.0,4.0,0.10312286,0.024349304,0.13241024,0.014065352,0.13843076,0.026294382,0.108467184,0.015233801,0.13530874,0.024636876,0.14368086,0.013781036,0.092825465,0.027393121
4,DS01,7.0,5.0,0.08885418,0.07862444,0.072300285,0.058147613,0.06820761,0.07275668,0.07524895,0.059454568,0.06703298,0.07292312,0.075798474,0.05682561,0.077744834,0.076080665
5,DS01,7.0,6.0,0.09081905,0.06697212,0.07794479,0.044684835,0.08359223,0.06536377,0.08294743,0.049468365,0.08402158,0.0619544,0.09317209,0.046708304,0.08543009,0.06692093
6,DS01,7.0,7.0,0.104564756,0.07731907,0.06594602,0.05550338,0.06889886,0.07031543,0.07265939,0.05819042,0.0646176,0.0709996,0.078400835,0.054299016,0.082745545,0.07554009
7,DS01,7.0,8.0,0.117266916,0.03967563,0.10846368,0.022344625,0.116359994,0.03795441,0.10421913,0.026140533,0.11333562,0.03411054,0.12876572,0.021243855,0.09104207,0.039077293
8,DS01,7.0,9.0,0.1145343,0.06400973,0.07920916,0.039967835,0.089632004,0.057558876,0.087237604,0.045692634,0.08532903,0.05473861,0.095631644,0.0430887,0.08266095,0.06070891
9,DS01,7.0,10.0,0.10914691,0.047436032,0.08023787,0.032619465,0.096059,0.045990486,0.12510602,0.034675404,0.081645615,0.045281626,0.11806704,0.03453607,0.10076957,0.048428882
10,DS01,7.0,11.0,0.08789057,0.07338084,0.073662594,0.051006414,0.082919545,0.06896669,0.07586035,0.05374855,0.08229713,0.065812506,0.08202415,0.049911343,0.08088516,0.07163415
11,DS01,7.0,12.0,0.102857605,0.07172235,0.076060176,0.04997041,0.076727726,0.06423734,0.0806472,0.05203692,0.073342435,0.06332563,0.08745068,0.046946008,0.08639204,0.06828348
12,DS01,7.0,13.0,0.118758984,0.054708593,0.09205489,0.03606988,0.090024345,0.048348155,0.09837322,0.039002396,0.085331045,0.048508193,0.10685543,0.034238305,0.09599653,0.05173004
13,DS01,7.0,14.0,0.10272439,0.06927413,0.06771348,0.04735006,0.07994233,0.06413669,0.08580162,0.05090461,0.073019005,0.06401292,0.09179218,0.048501253,0.085357405,0.069469936
14,DS01,7.0,15.0,0.0998949,0.08007754,0.066344015,0.056354903,0.06788933,0.07201716,0.072476305,0.05826746,0.06497412,0.07259831,0.07460595,0.054812882,0.08223788,0.07744924
15,DS01,7.0,16.0,0.114893876,0.06884228,0.076322064,0.04161461,0.08688422,0.060494177,0.08826369,0.04879425,0.0833178,0.056755308,0.09141794,0.047774486,0.073689796,0.060935494
16,DS01,7.0,17.0,0.110522225,0.078722164,0.074081376,0.05202948,0.0684442,0.06718317,0.07635869,0.05588491,0.0662184,0.06835505,0.07827539,0.054624226,0.07754658,0.07175414
17,DS01,7.0,18.0,0.10542762,0.07601359,0.071394,0.05174555,0.069875844,0.068050124,0.07707611,0.056533504,0.06711606,0.068489514,0.079124466,0.054943044,0.081116356,0.07309424
18,DS01,7.0,19.0,0.10516528,0.06691512,0.081836745,0.04782696,0.082030386,0.059926104,0.084281206,0.049079936,0.07897086,0.05968727,0.088349245,0.044428345,0.08767443,0.06382811
19,DS01,7.0,20.0,0.09985718,0.07943476,0.07253953,0.055056036,0.066206396,0.071258925,0.07533787,0.058390543,0.06428133,0.07161717,0.07593633,0.056221887,0.078759424,0.075102605
20,DS01,7.0,21.0,0.1262187,0.05471173,0.07135054,0.039242797,0.081462726,0.051556434,0.11839333,0.040280204,0.064254574,0.053623635,0.11290734,0.039567176,0.091108836,0.055321984
21,DS01,7.0,22.0,0.112857476,0.079562046,0.07560386,0.051757738,0.06926827,0.06597505,0.0769606,0.054670475,0.066966414,0.06719595,0.07844099,0.053673033,0.076707296,0.070360795
22,DS01,7.0,23.0,0.113419175,0.068104684,0.07543277,0.04312153,0.08470428,0.06115047,0.083161786,0.049611744,0.08050117,0.05826704,0.09009248,0.048129216,0.079521894,0.06478176
23,DS01,7.0,24.0,0.09480231,0.08502201,0.067215584,0.059601102,0.060770098,0.07613974,0.069394566,0.06359608,0.058787815,0.07616646,0.07116437,0.06154309,0.074776284,0.081020504
24,DS01,7.0,25.0,0.11409913,0.08027672,0.07809174,0.050250914,0.06565957,0.06918596,0.07610446,0.057403956,0.06592078,0.06704529,0.078570426,0.057533294,0.069452584,0.07040518
25,DS01,7.0,26.0,0.12277969,0.071741186,0.07514459,0.049672406,0.06966653,0.060690504,0.08609005,0.052285254,0.062777154,0.06189746,0.087937936,0.049342398,0.08397951,0.06599531
26,DS01,7.0,27.0,0.08047656,0.087373406,0.073285654,0.058097932,0.064440265,0.07776243,0.07341879,0.060022514,0.06485733,0.07658475,0.06907156,0.060005777,0.07370027,0.08090276
27,DS01,7.0,28.0,0.1109546,0.07844298,0.08031969,0.050467264,0.06932942,0.06501372,0.078577794,0.053799376,0.06810383,0.06544882,0.08000165,0.05292233,0.077800654,0.068817854
28,DS01,7.0,29.0,0.094010375,0.088106096,0.076266274,0.05286154,0.06086287,0.075930215,0.07729037,0.05606495,0.060447544,0.07377033,0.07381335,0.0541585,0.080007136,0.07641045
29,DS01,7.0,30.0,0.10445443,0.08909888,0.077466294,0.05273792,0.0607552,0.0725996,0.0737401,0.056174293,0.060714282,0.071595676,0.07409519,0.055267245,0.07564699,0.07565391
30,DS01,7.0,31.0,0.1313917,0.071370885,0.09052069,0.03775156,0.080463514,0.057738453,0.07945314,0.044944435,0.08008238,0.051913958,0.09573641,0.044368178,0.07407856,0.060186133
31,DS01,7.0,32.0,0.12893713,0.07286432,0.0836453,0.038342096,0.082645334,0.057895426,0.07734048,0.0494805,0.08172976,0.051848933,0.09322821,0.049451817,0.07151517,0.061075505
32,DS01,7.0,33.0,0.08982306,0.07687085,0.08554042,0.05147379,0.07164815,0.06766184,0.084696494,0.051964533,0.07311684,0.067109905,0.08167269,0.051595505,0.07884354,0.06798238
33,DS01,7.0,34.0,0.16335964,0.045914266,0.09186479,0.024204198,0.083196126,0.036457706,0.121303305,0.039712355,0.067938186,0.030523572,0.11773234,0.038279504,0.10025989,0.039254136
34,DS01,7.0,35.0,0.11403083,0.07901764,0.080769256,0.049953457,0.066201344,0.068840735,0.076711796,0.056174595,0.06677561,0.066625185,0.07923692,0.05628219,0.069802426,0.06957802
